"Base Tous Salariés : fichier Postes - 2021"





post
"Données par poste de travail et données de niveau établissement réintégrées au niveau poste 2021"

"Nom de la variable";Libellé;Modalités
a88_1;"APET ou APEN agrégée en 88 postes de l'année N-1";"01 - Culture et production animale, chasse et services annexes";"02 - Sylviculture et exploitation forestière";"03 - Pêche et aquaculture";"05 - Extraction de houille et de lignite";"06 - Extraction d'hydrocarbures";"07 - Extraction de minerais métalliques";"08 - Autres industries extractives";"09 - Services de soutien aux industries extractives";"10 - Industries alimentaires";"11 - Fabrication de boissons";"12 - Fabrication de produits à base de tabac";"13 - Fabrication de textiles";"14 - Industrie de l'habillement";"15 - Industrie du cuir et de la chaussure";"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles, fabrication d'articles en vannerie et sparterie";"17 - Industrie du papier et du carton";"18 - Imprimerie et reproduction d'enregistrements";"19 - Cokéfaction et raffinage";"20 - Industrie chimique";"21 - Industrie pharmaceutique";"22 - Fabrication de produits en caoutchouc et en plastique";"23 - Fabrication d'autres produits minéraux non métalliques";"24 - Métallurgie";"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements";"26 - Fabrication de produits informatiques, électroniques et optiques";"27 - Fabrication d'équipements électriques";"28 - Fabrication de machines et équipements N.C.A.";"29 - Industrie automobile";"30 - Fabrication d'autres matériels de transport";"31 - Fabrication de meubles";"32 - Autres industries manufacturières";"33 - Réparation et installation de machines et d'équipements";"35 - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";"36 - Captage, traitement et distribution d'eau";"37 - Collecte et traitement des eaux usées";"38 - Collecte, traitement et élimination des déchets, récupération";"39 - Dépollution et autres services de gestion des déchets";"41 - Construction de bâtiments";"42 - Génie civil";"43 - Travaux de construction spécialisés";"45 - Commerce et réparation d'automobiles et de motocycles";"46 - Commerce de gros, à l'exception des automobiles et des motocycles";"47 - Commerce de détail, à l'exception des automobiles et des motocycles";"49 - Transports terrestres et transport par conduites";"50 - Transports par eau";"51 - Transports aériens";"52 - Entreposage et services auxiliaires des transports";"53 - Activités de poste et de courrier";"55 - Hébergement";"56 - Restauration";"58 - Édition";"59 - Production de films cinématographiques, de vidéo et de programmes de télévision, enregistrement sonore et édition musicale";"60 - Programmation et diffusion";"61 - Télécommunications";"62 - Programmation, conseil et autres activités informatiques";"63 - Services d'information";"64 - Activités des services financiers, hors assurance et caisses de retraite";"65 - Assurance";"66 - Activités auxiliaires de services financiers et d'assurance";"68 - Activités immobilières";"69 - Activités juridiques et comptables";"70 - Activités des sièges sociaux, conseil de gestion";"71 - Activités d'architecture et d'ingénierie, activités de contrôle et analyses techniques";"72 - Recherche-développement scientifique";"73 - Publicité et études de marché";"74 - Autres activités spécialisées, scientifiques et techniques";"75 - Activités vétérinaires";"77 - Activités de location et location-bail";"78 - Activités liées à l'emploi";"79 - Activités des agences de voyage, voyagistes, services de réservation et activités connexes";"80 - Enquêtes et sécurité";"81 - Services relatifs aux bâtiments et aménagement paysager";"82 - Activités administratives et autres activités de soutien aux entreprises";"84 - Administration publique et défense, sécurité sociale obligatoire";"85 - Enseignement";"86 - Activités pour la santé humaine";"87 - Hébergement médico-social et social";"88 - Action sociale sans hébergement";"90 - Activités créatives, artistiques et de spectacle";"91 - Bibliothèques, archives, musées et autres activités culturelles";"92 - Organisation de jeux de hasard et d'argent";"93 - Activités sportives, récréatives et de loisirs";"94 - Activités des organisations associatives";"95 - Réparation d'ordinateurs et de biens personnels et domestiques";"96 - Autres services personnels";"97 - Activités des ménages en tant qu'employeurs de personnel domestique";"98 - Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";"99 - Activités des organisations et organismes extraterritoriaux"
activite_partielle_1;"Montant brut d'activité partielle en N-1";
annee_naiss_1;"Année de naissance du salarié en N-1";
apen_1;"Activité principale exercée de l'entreprise de l'année N-1, codée en Nomenclature d'activités française (NAF) révision 2";"NAF révision 2 - <a href='https://www.insee.fr/fr/information/2120875' target=""_blank""> cliquer ici</a>"
apet_1;"Activité principale exercée de l'établissement de l'année N-1, codée en Nomenclature d'activités française (NAF) révision 2";"NAF révision 2 - <a href='https://www.insee.fr/fr/information/2120875' target=""_blank""> cliquer ici</a>"
apet_utilisateur_1;"Activité principale exercée de l'établissement où l'intérimaire réalise sa mission de l'année N-1, codée en Nomenclature d'activités française (NAF) révision 2";"NAF révision 2 - <a href='https://www.insee.fr/fr/information/2120875' target=""_blank""> cliquer ici</a>"
bascsg_1;"Sommes soumises à la Contribution sociale généralisée (CSG) et à la Contribution pour le remboursement de la dette sociale (CRDS) de l'année N-1";
brut_f_1;"Montant brut des rémunérations de l'année N-1";
brut_s_1;"La base brute de sécurité sociale (ou rémunération brute déplafonnée) correspond aux sommes soumises à des cotisations sociales de l'année N-1";
catjur_1;"Catégorie juridique du lieu de travail de l'année N-1";"Nomenclature des catégories juridiques - <a href='https://www.insee.fr/fr/information/2028129' target=""_blank ""> cliquer ici</a>"
catjur_empl_1;"Catégorie juridique de l'employeur de l'année N-1";"Nomenclature des catégories juridiques - <a href='https://www.insee.fr/fr/information/2028129' target=""_blank ""> cliquer ici</a>"
champ_1;"Champ des données (regroupement de modalités de la variable ORIGINE) de l'année N-1";"DADS - Déclaration Annuelles de Données Sociales";"DSN - Déclaration Sociale Nominative";"PE - Particulier employeur";"SIASP - Agents des services publics"
codecom_siege_1;"Commune d'implantation de l'établissement (siège social) de l'année N-1";"Code commune - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
com_empl_1;"Commune de l'employeur de l'année N-1";"Code commune - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
comr_1;"Commune de résidence du salarié de l'année N-1";"Code commune - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
comt_1;"Commune du lieu de travail de l'année N-1";"Code commune - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
contrat_travail_1;"Type de contrat de travail de l'année N-1";"01 - Contrat à durée indéterminée";"02 - Contrat à durée déterminée";"03 - Contrat de travail temporaire (mission)";"04 - Contrat d’apprentissage dans des entreprises artisanales ou de 10 salariés au plus";"05 - Contrat d’apprentissage dans des entreprises non artisanales de plus de 10 salariés";"20 - Élus";"90 - Autres contrats";"92 - Assistant maternel et familial";"93 - Contrat aidé (contrat emploi consolidé, contrat d'avenir, contrat d'accompagnement dans l'emploi, contrat initiative emploi, contrat d'accès à l'emploi, contrat d'insertion par l'activité, contrat de professionnalisation)";"95 - Travail occasionnel (saisonnier, occasionnel)";"96 - Contrat à durée indéterminée intermittent"
conv_coll_1;"Convention collective de branche de l'année N-1 selon la nomenclature IDCC (Identifiant De la Convention Commune) gérée par le Ministère du Travail";"IDCC - <a href='https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target=""_blank""> cliquer ici</a>"
conv_meta_1;"Type de couverture par une convention collective de l'année N-1";"CC - Poste couvert par une convention collective gérée par le Ministère du Travail (dans ce cas, la variable CONV_COLL est redressée par la DARES)";"AUT - Poste couvert par une convention collective gérée par le Ministère de l'Agriculture ou poste à statut";"VC - Vide conventionnel : poste non couvert par une convention collective ou un statut";"HCS - Hors champ statistique : poste annexe ou salarié des particuliers employeurs (dans ce cas, la variable CONV_COLL est la valeur déclarée par l'établissement)"
cpfd_1;"Condition d'emploi de l'année N-1";"C - Temps complet";"P - Temps partiel";"N - Non concerné";"S - Chômage"
cris_1;"Convention collective de l'année N-1 regroupée pour l'information statistique";"A10 - Métallurgie";"A20 - Sidérurgie";"B10 - Bâtiment";"B20 - Travaux publics";"C10 - Chimie";"C21 - Industrie pharmaceutique";"C22 - Fabrication, commerce et répartition pharmaceutiques";"C23 - Officines pharmaceutiques";"D11 - Plastiques";"D12 - Caoutchouc";"D21 - Industrie pétrolière";"D22 - Commerce des combustibles";"E11 - Fabrication mécanique du verre";"E12 - Autres branches du verre";"E21 - Industrie des carrières et matériaux";"E22 - Céramique";"E23 - Chaux, ciments, tuiles et briques";"E24 - Commerce des matériaux de construction";"F11 - Travail mécanique du bois";"F12 - Autres branches du bois";"F21 - Industrie de l'ameublement";"F22 - Commerce de l'ameublement";"F23 - Jeux et jouets";"F31 - Papiers et cartons";"F32 - Papeterie et cartonnages";"G11 - Industrie textile";"G12 - Autres branches du textile";"G13 - Industrie de l'habillement";"G14 - Autres branches de l'habillement";"G15 - Blanchisserie";"G21 - Cuirs";"G22 - Industrie de la chaussure";"G23 - Autres branches de la chaussure";"H11 - Imprimerie de labeur";"H12 - Branches associées à l'imprimerie";"H20 - Presse";"H31 - Édition";"H32 - Librairie";"H41 - Cinéma et photographie";"H42 - Audiovisuel hors cinéma";"H50 - Spectacles vivants";"H60 - Télécommunications";"H70 - Publicité et connexes";"I10 - Produits du sol";"I21 - Viandes";"I22 - Charcuterie et boyauderie";"I23 - Œufs, volailles et poissons";"I31 - Boulangerie et pâtisserie";"I32 - Confiserie, biscuiterie et glaces";"I41 - Vins et spiritueux";"I42 - Autres branches de boissons";"I51 - Industrie laitière";"I52 - Industrie de la conserve";"I53 - Épiceries et coopératives";"I54 - Agro-alimentaire divers";"J10 - Commerce de gros";"J20 - Import-export";"K00 - Commerce principalement alimentaire";"L11 - Commerce de la quincaillerie";"L12 - Commerce de l'électroménager";"L13 - Commerce du bricolage";"L14 - Commerce de l'optique";"L21 - Grands magasins et magasins populaires";"L22 - Vente par catalogue";"L23 - Autres branches de commerce de détail non alimentaire";"M10 - Services de l'automobile";"M20 - Commerce et services des tracteurs et matériels roulants divers";"N11 - Hôtels-cafés-restaurants";"N12 - Cafétérias et restauration ferroviaire";"N13 - Restauration rapide";"N20 - Tourisme";"N30 - Restauration de collectivités";"O11 - Transports routiers";"O12 - Transports urbains";"O21 - Transports aériens (hors Air France)";"O22 - Transports maritimes, fluviaux et divers";"O23 - Sociétés d'autoroutes";"P11 - Hospitalisation à but non lucratif";"P12 - Établissements pour personnes inadaptées";"P13 - Organismes de sécurité sociale";"P14 - Animation";"P15 - Centres de soins ou sociaux et hébergement social";"P16 - Aide à domicile";"P21 - Hospitalisation privée";"P22 - Prévention et convalescence";"P23 - Laboratoires d'analyses médicales";"P24 - Cabinets médicaux";"P25 - Cabinets dentaires";"P26 - Animation";"P27 - Autres branches sanitaires et sociales";"Q11 - Banques, hors mutualité et statuts";"Q12 - Crédit mutuel";"Q13 - Établissements financiers";"Q21 - Sociétés d'assurances";"Q22 - Agences générales et courtage d'assurances";"Q23 - Branches associées à l'assurance";"R11 - Immobilier et promotion";"R12 - H.L.M. (hors O.P.A.C.) et crédit immobilier";"R20 - Architecture et expertise de la construction";"S10 - Bureaux d'études et sociétés de conseil";"S20 - Prestations de services aux entreprises";"T11 - Notariat";"T12 - Avocats et avoués";"T13 - Autres professions juridiques";"T20 - Audit et expertise comptable";"U11 - Propreté";"U12 - Déchet, assainissement et désinfection";"U13 - Manutention";"U20 - Récupération";"U30 - Prévention - sécurité";"V10 - Eau, aéraulique et thermique";"V20 - Bijouterie horlogerie";"V31 - Enseignement privé";"V32 - Organismes de formation";"V40 - Travail temporaire (permanents)";"V51 - Coiffure";"V52 - Parfumerie - esthétique";"V53 - Pompes funèbres";"V54 - Activités sportives";"V55 - Autres branches de services";"W11 - Coopératives agricoles";"W12 - Activités agricoles non coopératives";"W21 - Crédit agricole";"W22 - Mutualité agricole";"W23 - Autre tertiaire agricole";"X10 - Fonction publique";"X21 - Chemins de fer";"X22 - Industries électriques et gazières";"X23 - Mines";"X24 - Caisses d'épargne";"X25 - Offices H.L.M.";"X26 - R.A.T.P.";"X27 - Banque de France";"X28 - Autres secteurs sous statut";"Y10 - Secteurs à convention d'entreprise exclusive";"Y21 - Travail temporaire (intérimaires)";"Y22 - V.R.P.";"Y30 - Hors couverture conventionnelle ou statutaire"
datdeb_1;"Date de début de rémunération de la première période du poste de l'année N-1";
datdeb2_1;"Date de début de rémunération de la deuxième période du poste de l'année N-1";
datfin_1;"Date de fin de rémunération de la dernière période du poste de l'année N-1";
datfin1_1;"Date de fin de rémunération de la première période du poste de l'année N-1";
date_debut_contrat_1;"Date de début du contrat de travail de l'année N-1";
decal_paie_decl_1;"Décalage de paie déclaré pour le poste l'année N-1";"01 - Poste sans décalage de paie";"02 - Entrée en décalage en cours d'exercice";"03 - Décalage constant";"04 - Sortie de décalage en cours d'exercice"
dep_naiss_1;"Département de naissance du salarié en N-1";"Code département - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
depr_1;"Département de résidence du salarié de l'année N-1";"Code département - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
dept_1;"Département du lieu de travail de l'année N-1";"Code département - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
dispol_1;"Dispositif de politique publique associé au contrat de l'année N-1";"21 - CUI : Contrat Initiative Emploi";"41 - CUI : Contrat d'Accompagnement dans l'Emploi";"42 - CUI : Contrat d'accès à l'emploi – DOM";"50 - Emploi d'avenir secteur marchand";"51 - Emploi d'avenir secteur non marchand";"61 - Contrat de professionnalisation";"64 - Contrat d'apprentissage dans une entreprise artisanale ou dans une entreprise de moins de 11 salariés (loi du 3 janvier 1979)";"65 - Contrat d’apprentissage dans une entreprise non inscrite au répertoire des métiers d'au moins 11 salariés (loi de 1987)";"70 - Contrat à durée déterminée pour les séniors";"71 - Contrat à durée déterminée d’insertion";"80 - Contrat de génération";"81 - Contrat d'apprentissage secteur public (Loi de 1992)";"90 - [DADS] Autres contrats";"99 - Non concerné"
domempl_1;"Domaine d'emploi du lieu de travail (établissement d'affectation) de l'année N-1";" - Entreprises sans catégorie juridique renseignée";"1 - Fonction Publique d'État";"2 - Fonction Publique Territoriale";"3 - Fonction Publique Hospitalière";"4 - Autres organismes publics administratifs";"5 - Personnes morales de droit public soumises au droit commercial";"6 - Entreprises individuelles";"7 - Particuliers employeurs";"8 - Organismes privés spécialisés et groupements de droit privé";"9 - Autres sociétés privées"
domempl_empl_1;"Domaine d'emploi de l'employeur de l'année N-1";" - Entreprises sans catégorie juridique renseignée";"1 - Fonction Publique d'État";"2 - Fonction Publique Territoriale";"3 - Fonction Publique Hospitalière";"4 - Autres organismes publics administratifs";"5 - Personnes morales de droit public soumises au droit commercial";"6 - Entreprises individuelles";"7 - Particuliers employeurs";"8 - Organismes privés spécialisés et groupements de droit privé";"9 - Autres sociétés privées"
duree_1;"Durée de paie en jours de l'année N-1";
eff_0101_1;"Effectif au 01/01 de l'entreprise de l'année N-1 (postes non annexes, hors intérimaires)";
eff_0101_et_1;"Effectif au 01/01 de l'établissement de l'année N-1 (postes non annexes, hors intérimaires)";
eff_3112_1;"Effectif au 31/12 de l'entreprise de l'année N-1 (postes non annexes, hors intérimaires)";
eff_3112_et_1;"Effectif au 31/12 de l'établissement de l'année N-1 (postes non annexes, hors intérimaires)";
eff_moy_et_1;"Effectif moyen de l'établissement de  l'année N_1 (postes non annexes, hors intérimaires)";
eqtp_1;"Équivalent temps plein de l'année N-1";
filt_1;"Type de poste de l'année N-1";" - Poste non présent sur la validité";"1 - Poste non annexe";"2 - Poste annexe";"3 - Poste ASSEDIC (indemnité chômage)"
frontalier_1;"Code frontalier de l'année N-1";" - Travailleur non frontalier";"F ou E - Travailleur frontalier"
ind_3112_1;"Indicateur de présence au 31/12 de l'année N-1";"0 - Poste non présent";"1 - Poste présent au 31/12 (ou au 30/11 avec un décalage de paie)";"2 - Poste présent la dernière semaine de décembre mais non présent au 31/13"
ind_nir_1;"Mode de redressement du Numéro d'inscription au répertoire (NIR) de l'année N-1";"C - NIR certifié";"F - NIR fictif"
ir_comr_1;"Indicateur de redressement de la variable COMR_1";"A - Donnée redressée automatiquement";"C - Donnée redressée par le chef-lieu";"D - Donnée déclarée";"G - Donnée redressée par le gestionnaire"
ir_dates_1;"Indicateur de redressement de la variable DATES_1";"D - Donnée déclarée";"R - Donnée redressée"
ir_fronta_1;"Indicateur de redressement de la variable FRONTA_1";"D - Donnée déclarée";"R - Donnée redressée"
ir_nbheur_1;"Indicateur de redressement de la variable NBHEUR_1";"D - Donnée déclarée";"R - Donnée redressée"
ir_pcs_1;"Indicateur de redressement de la variable PCS_1";"D - Donnée déclarée";"I - Imputation";"R - Particulier employeur";"S - SIASP"
ir_sexe_1;"Indicateur de redressement de la variable SEXE_1";"D - Donnée déclarée";"R - Donnée redressée"
marchet_1;"Caractère marchand de l'établissement de  l'année N-1";"MA - Marchand";"PR - Non marchand à caractère privé";"PU - Non marchand à caractère privé";"HC - Hors champ";"N - Non renseigné"
motifcdd_1;"Motif d'embauche d'un CDD de l'année N-1";"01 - Remplacement d'un salarié";"02 - Accroissement temporaire de l'activité de l'entreprise";"03 - Emplois à caractère saisonnier";"04 - Contrat vendanges";"05 - Contrat d’usage";"06 - Contrat à durée déterminée à objet défini";"07 - Remplacement d'un chef d'entreprise";"08 - Remplacement du chef d'une exploitation agricole (ou d'une entreprise mentionnée aux premier et quatrième de l'article L.)";"09 - Recrutement de personnes sans emploi rencontrant des difficultés sociale et professionnelles particulières";"10 - Complément de formation professionnelle au salarié";"11 - Formation professionnelle au salarié par la voie de l'apprentissage, en vue de l'obtention d'une qualification";"12 - Remplacement d’un salarié passé provisoirement à temps partiel";"13 - Attente de la suppression définitive du poste du salarié ayant quitté définitivement l'entreprise"
nat_contrat_1;"Nature du contrat de l'année N-1";"01 - Contrat à durée indéterminée";"02 - Contrat à durée déterminée";"03 - Contrat de mission (contrat de travail temporaire)";"07 - Contrat à durée indéterminée intermittent";"08 - Contrat à durée indéterminée intérimaire";"09 - Contrat de travail à durée indéterminée de droit public";"10 - Contrat de travail à durée déterminée de droit public";"29 - Convention de stage (hors formation professionnelle)";"32 - Contrat d’appui au projet d’entreprise";"50 - Nomination dans la fonction publique (par arrêté, par décision…)";"60 - Contrat d’engagement éducatif";"70 - Contrat de soutien et d’aide par le travail";"80 - Mandat social";"81 - Mandat d’élu";"89 - Volontariat de service civique";"90 - Autre nature de contrat, convention, mandat";"99 - Non concerné"
nb_per_1;"Nombre de périodes annexes et non annexes de l'année N-1";
nb_postes_du_nir_1;"Nombre de postes du salarié de l'année N-1 (nombre d'établissement, lieux de travail différents)";
nbh_activite_partielle_1;"Nombre d'heures d'activité partielle en N-1";
nbheur_1;"Nombre d'heures salariées du poste dans l'année de l'année N-1";
net_1;"Net fiscal déclaré du salarié de l'année N-1";
nic_empl_1;"Numéro d'inscription au répertoire (NIC) de l'employeur dans l'année N-1";
origine_1;"Origine et format de la déclaration administrative de l'année N-1";"CESU - Chèque emploi service universel (PE)";"CNAV_DADS - DADS reçues de la CNAV";"CNAV_DSN - DSN reçues de la CNAVDADS, DADS traitées par SIASP";"DEFENSE - Fichier de paie des militaires reçu du Ministère de la Défense";"DGI_DADS - DADS reçues de la DGFiP";"DNS - Déclaration nominative simplifiée (PE)";"DSN - DSN traitées par SIASP";"PAJE - Prestation d'accueil du jeune enfant (PE)";"STATIS - Fichier de paie des agents de l’État reçu de la DGFiP"
pcs_1;"Profession et catégorie socio-professionnelle de l'année N-1 codée selon la nomenclature PCS-ESE";"PCS-ESE - <a href='https://www.insee.fr/fr/information/2912545' target=""_blank ""> cliquer ici</a>"
pepa_1;"Prime exceptionnelle de pouvoir d'achat N-1";
pps_1;"Indicateur de poste principal du salarié de l'année N-1";"0 - Le poste n'est pas le poste principal du salarié";"1 - Le poste est le poste principal du salarié"
reg_siege_1;"Région d'implantation du siège de l'entreprise de l'année N-1";"Code région - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
regr_1;"Région de résidence du salarié dans l'année N-1";"Code région - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
regt_1;"Région d'implantation du lieu de travail de l'année N-1";"Code région - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
s_brut_1;"Salaire brut du salarié de l'année N-1";
s_net_1;"Salaire net du salarié de l'année N-1";
sexe_1;"Sexe du salarié N-1";"1 - Homme";"2 - Femme"
siren_empl_1;"SIREN de l'employeur de l'année N-1";
siret_utilisateur_1;"SIRET de l'établissement où l'intérimaire réalise sa mission de l'année N-1 (pour l'intérim)";
sonde_1;"Présence du salarié dans l'échantillon au 12ème de l'année N-1";"0 - Absence dans l'échantillon au 12ème";"1 - Présence dans l'échantillon au 12ème"
source_1;"Source de données de l'année N-1 (l'application dans laquelle ont été traitées les données)";"DIANE_DADS_CNAV - Application Diane, source DADS-CNAV";"DIANE_DADS_DGI - Application Diane, source DADS-DGI";"DIANE_DSN - Application Diane, source DSN";"PE_APPLICATION - Application particulier employeur";"SIASP_APPLICATION - Application SIASP"
treffect_1;"Tranche d'effectif de l'établissement au 31/12 de l'année N-1 (postes non annexes) ";"00 - 0 poste";"01 - De 1 à 4 postes";"02 - De 5 à 9 postes";"03 - De 10 à 19 postes";"04 - De 20 à 49 postes";"05 - De 50 à 99 postes";"06 - De 100 à 249 postes";"07 - De 250 à 499 postes";"08 - De 500 à 999 postes";"09 - De 1000 à 1999 postes";"10 - De 2000 à 4999 postes";"11 - 5000 postes et plus"
treffen_1;"Tranche d'effectif de l'entreprise au 31/12 de l'année N-1 (postes non annexes) ";"00 - 0 poste";"01 - De 1 à 4 postes";"02 - De 5 à 9 postes";"03 - De 10 à 19 postes";"04 - De 20 à 49 postes";"05 - De 50 à 99 postes";"06 - De 100 à 249 postes";"07 - De 250 à 499 postes";"08 - De 500 à 999 postes";"09 - De 1000 à 1999 postes";"10 - De 2000 à 4999 postes";"11 - 5000 postes et plus"
typ_emploi_1;"Type d'emploi de l'année N-1";"O - Emploi ordinaire";"A - Apprenti";"E - Emploi aidé";"S - Stagiaire";"I - Indemnité de chômage"
typ_rupture_contrat_1;"Raison de la rupture du contrat de l'année N-1";"01 - Licenciement";"02 - Mise à la retraite";"03 - Rupture conventionnelle";"04 - Cessation forcée de fonction de mandataires sociaux"
unitmesureref_1;"Unité déclarée du temps de travail de l'année N-1 (déclaration en clair)";
uur_1;"Unité urbaine de résidence de l'année N-1 du salarié (zonage définition 2010)";"Unités urbaines 2010 - <a href='https://www.insee.fr/fr/information/2115018' target=""_blank ""> cliquer ici</a>"
uut_1;"Unité urbaine du lieu de travail de l'année N-1 (zonage définition 2010)";"Unités urbaines 2010 - <a href='https://www.insee.fr/fr/information/2115018' target=""_blank ""> cliquer ici</a>"
zempr_1;"Zone d'emploi de résidence du salarié de l'année N-1  (zonage définition 2010)";"Zone d'emploi 2010 - <a href='https://www.insee.fr/fr/information/2114596' target=""_blank""> cliquer ici</a>"
zempt_1;"Zone d'emploi du lieu de travail de l'année N-1  (zonage définition 2010)";"Zone d'emploi 2010 - <a href='https://www.insee.fr/fr/information/2114596' target=""_blank""> cliquer ici</a>"



