FILT_1;"Indicatrice de détection des affiliés à l'Agence centrale des organismes de sécurité sociale (Acoss) ou la Mutualité sociale agricole (MSA) au cours de l'année de validité N - 1";"A - L’affilié est présent dans les fichiers de l'Urssaf l'année N";"M - L’affilié est présent dans les fichiers de la MSA l'année N";" - L’affilié est absent des fichiers Urssaf et MSA l'année N"
s_act_part;"Montant brut de l’indemnité versée au salarié au titre du chômage partiel";
S_NBHEUR_AP;"Nombre total d’heures indemnisées de chômage partiel";
DEPT;"Département d'activité du non-salarié";"Code officiel géographique - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
DEPT_1;"Département d'activité du non-salarié N - 1";"Code officiel géographique - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
COMT;"Code géographique de la commune d'activité du non-salarié";"Code officiel géographique - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
COMT_1;"Code géographique de la commune d'activité du non-salarié durant l'année N - 1";"Code officiel géographique - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
AN;"Année de validité";
AN_1;"Année de validité N - 1";
TAX_PROV;"Indicatrice de taxation provisoire";"0 - Non";"1 - Oui"
TAX_PROV_1;"Indicatrice de taxation provisoire N - 1";"0 - Non";"1 - Oui"
SIR;"Numéro SIREN de l’entreprise principale";
SIR_1;"Numéro SIREN de l’entreprise principale N - 1";
ID_SIRUS;"Présence du numéro SIREN dans le référentiel Sirus de l'année";"0 - Numéro SIREN non présent dans le référentiel Sirus de l'année";"1 - Numéro SIREN présent dans le référentiel Sirus de l’année, le SIREN paraît correct";"9 - Numéro SIREN présent dans le référentiel Sirus de l’année, mais présomption d'erreur sur le numéro SIREN (l’entreprise retrouvée ne peut pas être dirigée par un non-salarié)"
ID_SIRUS_1;"Présence du numéro SIREN dans le référentiel Sirus de l'année N - 1";"0 - Numéro SIREN non présent dans le référentiel Sirus de l'année";"1 - Numéro SIREN présent dans le référentiel Sirus de l’année, le SIREN paraît correct";"9 - Numéro SIREN présent dans le référentiel Sirus de l’année, mais présomption d'erreur sur le numéro SIREN (l’entreprise retrouvée ne peut pas être dirigée par un non-salarié)"
CREAT_DATE_ref;"Date de création de l'entreprise";
CREAT_DATE_ref_1;"Date de création de l'entreprise N - 1";
CESSA_DATE_ref;"Date de cessation éventuelle de l'entreprise";
CESSA_DATE_ref_1;"Date de cessation éventuelle de l'entreprise N - 1";
A130;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A129 plus 1 poste pour les gérants sans lien)";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A130_1;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A129 plus 1 poste pour les gérants sans lien) N - 1";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A18;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A17 plus 1 poste pour les gérants sans lien)";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A18_1;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A17 plus 1 poste pour les gérants sans lien) N - 1";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A39;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A38 plus 1 poste pour les gérants sans lien)";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A39_1;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A38 plus 1 poste pour les gérants sans lien) N - 1";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A6;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A5 plus 1 poste pour les gérants sans lien)";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A6_1;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A5 plus 1 poste pour les gérants sans lien) N - 1";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
TYPENS;"Type de non-salarié";"AE - Micro-entrepreneur";"EI - Entrepreneur individuel";"GE - Gérant majoritaire de société"
TYPENS_1;"Type de non-salarié N - 1";"AE - Micro-entrepreneur";"EI - Entrepreneur individuel";"GE - Gérant majoritaire de société"
APEN2;"Activité principale de l'entreprise (NAF révision 2)";"Nomenclature d'activités française - <a href='https://www.insee.fr/fr/information/2406147' target=""_blank""> cliquer ici</a>"
APEN2_1;"Activité principale de l'entreprise (NAF révision 2) N - 1";"Nomenclature d'activités française - <a href='https://www.insee.fr/fr/information/2406147' target=""_blank""> cliquer ici</a>"
SECT;"Secteur d'activité agrégé de l'entreprise (regroupement en 39 postes)";"01a - Céréales et grandes cultures";"01b - Culture de légumes, fleurs, plantes";"01c - Culture de vignes";"01d - Arboriculture";"01e - Production de bovins";"01f - Production d'ovins, caprins, équidés, autres animaux";"01g - Production de granivores";"01h - Culture et élevage combinés";"01i - Sylviculture et exploitation forestière";"01j - Pêche et aquaculture";"01k - Chasse et services de soutien à l'agriculture";"020 - Industrie (hors artisanat commercial)";"030 - Construction";"04a - Commerce et réparation d'automobiles";"04b - Commerce de gros";"04c - Commerce pharmaceutique";"04d - Métiers de bouche";"04e - Commerce de détail en magasin";"04f - Commerce de détail hors magasin";"05a - Taxis (y compris VTC)";"05b - Autres activités de transport et entreposage";"07z - Information et communication";"08z - Activités financières et d'assurance";"09z - Activités immobilières";"10a - Activités juridiques et comptables";"10b - Conseil de gestion";"10c - Architecture, ingénierie";"10d - Autres activités spécialisées (scientifiques et techniques)";"10e - Vétérinaires";"11z - Services administratifs et de soutien";"13z - Hébergement et restauration";"14z - Arts spectacles et activités récréatives";"15z - Enseignement";"16a - Coiffure et soins de beauté";"16b - Autres services personnels";"20a - Médecins et dentistes";"20b - Professions paramédicales";"20c - Autres services de santé et action sociale";"900 - Secteur d’activité indéterminé (y compris gérants « sans lien »)"
SECT_1;"Secteur d'activité agrégé de l'entreprise (regroupement en 39 postes) N - 1";"01a - Céréales et grandes cultures";"01b - Culture de légumes, fleurs, plantes";"01c - Culture de vignes";"01d - Arboriculture";"01e - Production de bovins";"01f - Production d'ovins, caprins, équidés, autres animaux";"01g - Production de granivores";"01h - Culture et élevage combinés";"01i - Sylviculture et exploitation forestière";"01j - Pêche et aquaculture";"01k - Chasse et services de soutien à l'agriculture";"020 - Industrie (hors artisanat commercial)";"030 - Construction";"04a - Commerce et réparation d'automobiles";"04b - Commerce de gros";"04c - Commerce pharmaceutique";"04d - Métiers de bouche";"04e - Commerce de détail en magasin";"04f - Commerce de détail hors magasin";"05a - Taxis (y compris VTC)";"05b - Autres activités de transport et entreposage";"07z - Information et communication";"08z - Activités financières et d'assurance";"09z - Activités immobilières";"10a - Activités juridiques et comptables";"10b - Conseil de gestion";"10c - Architecture, ingénierie";"10d - Autres activités spécialisées (scientifiques et techniques)";"10e - Vétérinaires";"11z - Services administratifs et de soutien";"13z - Hébergement et restauration";"14z - Arts spectacles et activités récréatives";"15z - Enseignement";"16a - Coiffure et soins de beauté";"16b - Autres services personnels";"20a - Médecins et dentistes";"20b - Professions paramédicales";"20c - Autres services de santé et action sociale";"900 - Secteur d’activité indéterminé (y compris gérants « sans lien »)"
SECTR;"Secteur d'activité agrégé de l'entreprise (regroupement en 9 postes)";"01 - Agriculture";"02 - Industrie (hors artisanat commercial)";"03 - Construction";"04 - Commerce et artisanat commercial";"05 - Transports";"07 - Services aux entreprises et services mixtes";"13 - Services aux particuliers (hors santé)";"20 - Santé humaine et action sociale";"90 - Secteur d'activité indéterminé (y compris gérants « sans lien »)"
SECTR_1;"Secteur d'activité agrégé de l'entreprise (regroupement en 9 postes) N - 1";"01 - Agriculture";"02 - Industrie (hors artisanat commercial)";"03 - Construction";"04 - Commerce et artisanat commercial";"05 - Transports";"07 - Services aux entreprises et services mixtes";"13 - Services aux particuliers (hors santé)";"20 - Santé humaine et action sociale";"90 - Secteur d'activité indéterminé (y compris gérants « sans lien »)"
IND_AGRIC;"Indicatrice d'appartenance au secteur agricole";"0 - Non";"1 - Oui"
IND_AGRIC_1;"Indicatrice d'appartenance au secteur agricole N - 1";"0 - Non";"1 - Oui"
ACTISEC;"Activité secondaire du non-salarié";"0 - Aucune activité secondaire";"1 - Activité secondaire de non-salarié agricole";"2 - Activité secondaire de non-salarié non agricole";"3 - Activité secondaire de salarié agricole";"4 - Autre activité secondaire"
ACTISEC_1;"Activité secondaire du non-salarié N - 1";"0 - Aucune activité secondaire";"1 - Activité secondaire de non-salarié agricole";"2 - Activité secondaire de non-salarié non agricole";"3 - Activité secondaire de salarié agricole";"4 - Autre activité secondaire"
CRIS_ATE;"Catégorie de risque de l’exploitant ATEXA (Assurance accident du travail des exploitants agricoles)";"0 - Non concerné (dont les affiliés d’Alsace, de Moselle et de Mayotte)";"1 - Maraîchage, floriculture";"2 - Arboriculture fruitière";"3 - Pépinière";"4 - Cultures céréalières et industrielles, grandes cultures";"5 - Viticulture";"6 - Sylviculture";"7 - Autres cultures spécialisées";"8 - Élevage bovins-lait";"9 - Élevage bovins-viande";"10 - Élevage bovins-mixte";"11 - Élevage ovins, caprins";"12 - Élevage porcin";"13 - Élevage de chevaux";"14 - Autres élevages de gros animaux";"15 - Élevage de volailles, lapins";"16 - Autres élevages de petits animaux";"17 - Entraînement, dressage, haras, clubs hippiques";"18 - Conchyliculture";"19 - Cultures et élevages non spécialisés, polyculture, poly-élevage";"20 - Marais salants";"21 - Exploitation de bois";"22 - Scieries fixes";"23 - Entreprises de travaux agricoles";"24 - Entreprises de jardins, paysagistes, de reboisement";"25 - Mandataires des sociétés ou caisses locales d’assurances mutuelles agricoles"
CRIS_ATE_1;"Catégorie de risque de l’exploitant ATEXA (Assurance accident du travail des exploitants agricoles) N - 1";"0 - Non concerné (dont les affiliés d’Alsace, de Moselle et de Mayotte)";"1 - Maraîchage, floriculture";"2 - Arboriculture fruitière";"3 - Pépinière";"4 - Cultures céréalières et industrielles, grandes cultures";"5 - Viticulture";"6 - Sylviculture";"7 - Autres cultures spécialisées";"8 - Élevage bovins-lait";"9 - Élevage bovins-viande";"10 - Élevage bovins-mixte";"11 - Élevage ovins, caprins";"12 - Élevage porcin";"13 - Élevage de chevaux";"14 - Autres élevages de gros animaux";"15 - Élevage de volailles, lapins";"16 - Autres élevages de petits animaux";"17 - Entraînement, dressage, haras, clubs hippiques";"18 - Conchyliculture";"19 - Cultures et élevages non spécialisés, polyculture, poly-élevage";"20 - Marais salants";"21 - Exploitation de bois";"22 - Scieries fixes";"23 - Entreprises de travaux agricoles";"24 - Entreprises de jardins, paysagistes, de reboisement";"25 - Mandataires des sociétés ou caisses locales d’assurances mutuelles agricoles"
CATJUR;"Catégorie juridique de l'entreprise";"Catégories juridiques - <a href='https://www.insee.fr/fr/information/2028129' target=""_blank""> cliquer ici</a>"
CATJUR_1;"Catégorie juridique de l'entreprise N - 1";"Catégories juridiques - <a href='https://www.insee.fr/fr/information/2028129' target=""_blank""> cliquer ici</a>"
EMPLOYEUR;"Indicatrice de détection des non-salariés employeurs au 31 décembre de l'année";"0 - Pas de salariés employés par l’entreprise";"1 - Un ou des salariés employés par l’entreprise au 31 décembre";"2 - Plus de salariés employés au 31 décembre, mais présence de salariés au cours de l’année"
EMPLOYEUR_1;"Indicatrice de détection des non-salariés employeurs au 31 décembre de l'année N - 1";"0 - Pas de salariés employés par l’entreprise";"1 - Un ou des salariés employés par l’entreprise au 31 décembre";"2 - Plus de salariés employés au 31 décembre, mais présence de salariés au cours de l’année"
NBSA_ENT;"Nombre de salariés employés par l'entreprise au 31 décembre de l'année";". - Aucun salarié";"0 - Aucun salarié au 31 décembre, mais présence de salarié(s) au cours de l’année";"1 - 1 salarié au 31 décembre";"2 - 2 salariés au 31 décembre";" - ...";"x - X salariés au 31 décembre"
NBSA_ENT_1;"Nombre de salariés employés par l'entreprise au 31 décembre de l'année N - 1";". - Aucun salarié";"0 - Aucun salarié au 31 décembre, mais présence de salarié(s) au cours de l’année";"1 - 1 salarié au 31 décembre";"2 - 2 salariés au 31 décembre";" - ...";"x - X salariés au 31 décembre"
SALAIRVERS;"Montant des salaires versés aux salariés de l'exploitation au cours de l'année de validité";
SALAIRVERS_1;"Montant des salaires versés aux salariés de l'exploitation au cours de l'année de validité N - 1";
IND_3112;"Indicatrice d'activité au 31 décembre de l'année";"0 - Non";"1 - Oui"
IND_3112_1;"Indicatrice d'activité au 31 décembre de l'année N - 1";"0 - Non";"1 - Oui"
CESSATION;"Indicatrice de cessation de l’activité en cours d’année";"0 - Non";"1 - Oui"
CESSATION_1;"Indicatrice de cessation de l’activité en cours d’année N - 1";"0 - Non";"1 - Oui"
DURACTJOURS;"Nombre de jours d'affiliation dans l’année";
DURACTJOURS_1;"Nombre de jours d'affiliation dans l’année N - 1";
DATEASSUJ;"Date d'assujettissement la plus ancienne connue pour le non-salarié";
DATEASSUJ_1;"Date d'assujettissement la plus ancienne connue pour le non-salarié N - 1";
DATEASSUJET;"Première date d'assujettissement du compte, présente l'année de validité";
DATEASSUJET_1;"Première date d'assujettissement du compte, présente l'année de validité N - 1";
DURASSUJET;"Nombre de jours d'affiliation, depuis la date d'assujettissement du compte";
DURASSUJET_1;"Nombre de jours d'affiliation, depuis la date d'assujettissement du compte N - 1";
TYPE_IMP;"Type d'imposition utilisé lors de l'année de validité";"1 - Imposition au forfait (de 2006 à 2015) ou imposition au micro-bénéfice agricole (BA) (depuis 2016)";"2 - Imposition au réel";"3 - Imposition mixte"
TYPE_IMP_1;"Type d'imposition utilisé lors de l'année de validité N - 1";"1 - Imposition au forfait (de 2006 à 2015) ou imposition au micro-bénéfice agricole (BA) (depuis 2016)";"2 - Imposition au réel";"3 - Imposition mixte"
REGIMAL;"Régime maladie auprès duquel le non-salarié perçoit ses prestations maladie";"1 - Régime des non-salariés agricoles, exploitant à titre exclusif";"2 - Régime des non-salariés agricoles, exploitant à titre principal";"3 - Régime des non-salariés non agricoles";"4 - Régime des salariés agricoles";"5 - Autres régimes"
REGIMAL_1;"Régime maladie auprès duquel le non-salarié perçoit ses prestations maladie N - 1";"1 - Régime des non-salariés agricoles, exploitant à titre exclusif";"2 - Régime des non-salariés agricoles, exploitant à titre principal";"3 - Régime des non-salariés non agricoles";"4 - Régime des salariés agricoles";"5 - Autres régimes"
REVACTMSA;"Revenu d'activité annuel du non-salarié (dernière définition du revenu en vigueur)";
REVACTMSA_1;"Revenu d'activité annuel du non-salarié (dernière définition du revenu en vigueur) N - 1";
DEFICIT;"Montant du revenu déficitaire (dernière définition du revenu en vigueur)";
DEFICIT_1;"Montant du revenu déficitaire (dernière définition du revenu en vigueur) N - 1";
STATRMSA;"Statut principal agrégé au 31 décembre de l'année";"1 - Principalement non-salarié : aucun poste salarié au cours de la dernière semaine de l’année ; poste salarié au cours de la dernière semaine, régime non-salarié pour l’assurance maladie";"2 - Au moins un poste salarié au cours de la dernière semaine de l’année, régime salarié pour l'assurance maladie";" - Pas d'activité non-salariée au 31 décembre de l’année"
STATRMSA_1;"Statut principal agrégé au 31 décembre de l'année N - 1";"1 - Principalement non-salarié : aucun poste salarié au cours de la dernière semaine de l’année ; poste salarié au cours de la dernière semaine, régime non-salarié pour l’assurance maladie";"2 - Au moins un poste salarié au cours de la dernière semaine de l’année, régime salarié pour l'assurance maladie";" - Pas d'activité non-salariée au 31 décembre de l’année"
STATUTMSA;"Statut principal au 31 décembre de l'année";"1 - Au moins un poste salarié au cours de la dernière semaine de l’année ; régime non-salarié pour l’assurance maladie";"2 - Au moins un poste salarié au cours de la dernière semaine de l’année ; régime salarié pour l’assurance maladie";"3 - Aucun poste salarié sur toute l’année";"4 - Pas de poste salarié au cours de la dernière semaine de l’année, mais au moins un poste salarié dans l’année ; régime non-salarié pour l’assurance maladie";"5 - Pas de poste salarié au cours de la dernière semaine de l’année, mais au moins un poste salarié dans l’année ; régime salarié pour l’assurance maladie";" - Pas d’activité non-salariée au 31 décembre de l’année"
STATUTMSA_1;"Statut principal au 31 décembre de l'année N - 1";"1 - Au moins un poste salarié au cours de la dernière semaine de l’année ; régime non-salarié pour l’assurance maladie";"2 - Au moins un poste salarié au cours de la dernière semaine de l’année ; régime salarié pour l’assurance maladie";"3 - Aucun poste salarié sur toute l’année";"4 - Pas de poste salarié au cours de la dernière semaine de l’année, mais au moins un poste salarié dans l’année ; régime non-salarié pour l’assurance maladie";"5 - Pas de poste salarié au cours de la dernière semaine de l’année, mais au moins un poste salarié dans l’année ; régime salarié pour l’assurance maladie";" - Pas d’activité non-salariée au 31 décembre de l’année"
S_APET2;"Activité de l'établissement d'exercice de l'activité salariée (poste principal)";"Nomenclature d'activités française - <a href='https://www.insee.fr/fr/information/2406147' target=""_blank""> cliquer ici</a>"
S_APET2_1;"Activité de l'établissement d'exercice de l'activité salariée (poste principal) N - 1";"Nomenclature d'activités française - <a href='https://www.insee.fr/fr/information/2406147' target=""_blank""> cliquer ici</a>"
S_CE;"Condition d'emploi de l'activité salariée (poste principal)";"C - Temps complet";"N - Non renseigné";"P - Temps partiel";" - Pas de poste salarié ou valeur non renseignée"
S_CE_1;"Condition d'emploi de l'activité salariée (poste principal) N - 1";"C - Temps complet";"N - Non renseigné";"P - Temps partiel";" - Pas de poste salarié ou valeur non renseignée"
S_DEBREMU_MIN;"Jour de début de l'activité salariée dans l'année";"1 - Poste salarié en début d’année";"2 à 360 - Premier jour d’activité dans l’année";". - Pas de poste salarié"
S_DEBREMU_MIN_1;"Jour de début de l'activité salariée dans l'année N - 1";"1 - Poste salarié en début d’année";"2 à 360 - Premier jour d’activité dans l’année";". - Pas de poste salarié"
S_FINREMU_MAX;"Jour de fin de l'activité salariée dans l'année";"1 à 359 - Dernier jour d'activité dans l'année, sauf en cas de décalage de paie";"360 - Poste salarié la dernière semaine de l'année";". - Pas de poste salarié"
S_FINREMU_MAX_1;"Jour de fin de l'activité salariée dans l'année N - 1";"2 à 359 - Dernier jour d'activité dans l'année, sauf en cas de décalage de paie";"360 - Poste salarié la dernière semaine de l'année";". - Pas de poste salarié"
S_DP;"Durée de paie de l'activité salariée dans l'année";"1 à 360 - Un à 360 jours de paie";". - Pas de poste salarié"
S_DP_1;"Durée de paie de l'activité salariée dans l'année N - 1";"2 à 360 - Un à 360 jours de paie";". - Pas de poste salarié"
S_DOMEMPL_EMPL;"Domaine d'emploi de l'employeur pour l'activité salariée (poste principal)";"1 - Fonction publique d’État";"2 - Fonction publique territoriale";"3 - Fonction publique hospitalière";"4 - Autre organisme public administratif";"5 - Personne morale de droit public soumise au droit commercial";"6 - Entreprise individuelle";"7 - Particulier employeur";"8 - Organisme privé spécialisé ou groupement de droit privé";"9 - Autre société privée";" - Pas de poste salarié"
S_DOMEMPL_EMPL_1;"Domaine d'emploi de l'employeur pour l'activité salariée (poste principal) N - 1";"1 - Fonction publique d’État";"2 - Fonction publique territoriale";"3 - Fonction publique hospitalière";"4 - Autre organisme public administratif";"5 - Personne morale de droit public soumise au droit commercial";"6 - Entreprise individuelle";"7 - Particulier employeur";"8 - Organisme privé spécialisé ou groupement de droit privé";"9 - Autre société privée";" - Pas de poste salarié"
S_NBSA_ENT;"Nombre de postes non annexes de l'établissement d'exercice de l'activité salariée (poste principal)";
S_NBSA_ENT_1;"Nombre de postes non annexes de l'établissement d'exercice de l'activité salariée (poste principal) N - 1";
S_FILT_MIN;"Présence d'un poste salarié non annexe au cours de l'année de validité";"1 - Existence d'un poste non annexe";"2 - Postes annexes uniquement";"3 - Assedic";" - Pas de poste salarié"
S_FILT_MIN_1;"Présence d'un poste salarié non annexe au cours de l'année de validité N - 1";"1 - Existence d'un poste non annexe";"2 - Postes annexes uniquement";"3 - Assedic";" - Pas de poste salarié"
S_IND_3112;"Indicatrice d'activité salariée en fin d'année";"0 - Poste salarié dans l’année, mais pas la dernière semaine";"1 - Poste salarié la dernière semaine de l’année, mais pas le 31 décembre";"2 - Poste salarié le 31 décembre de l’année";" - Pas de poste salarié"
S_IND_3112_1;"Indicatrice d'activité salariée en fin d'année N - 1";"0 - Poste salarié dans l’année, mais pas la dernière semaine";"1 - Poste salarié la dernière semaine de l’année, mais pas le 31 décembre";"2 - Poste salarié le 31 décembre de l’année";" - Pas de poste salarié"
S_NBHEUR;"Nombre total d'heures salariées associées aux postes salariés dans l'année (hors postes d'élus)";
S_NBHEUR_1;"Nombre total d'heures salariées associées aux postes salariés dans l'année (hors postes d'élus) N - 1";
S_NBLIG;"Nombre de postes salariés au cours de l'année de validité (hors postes d'élus)";
S_NBLIG_1;"Nombre de postes salariés au cours de l'année de validité (hors postes d'élus) N - 1";
S_PCS4;"Code des Professions et Catégories Socioprofessionnelles des Emplois Salariés des Employeurs privés et publiques (PCS-ESE) de l'activité salariée (poste principal)";"Professions et Catégories Socioprofessionnelles des Emplois Salariés des Employeurs privés et publiques (PCS-ESE) - <a href='https://www.insee.fr/fr/information/2497958' target=""_blank""> cliquer ici</a>"
S_PCS4_1;"Code des Professions et Catégories Socioprofessionnelles des Emplois Salariés des Employeurs privés et publiques (PCS-ESE) de l'activité salariée (poste principal) N - 1";"Professions et Catégories Socioprofessionnelles des Emplois Salariés des Employeurs privés et publiques (PCS-ESE) - <a href='https://www.insee.fr/fr/information/2497958' target=""_blank""> cliquer ici</a>"
S_NIC4;"Numéro SIRET de l'établissement d'exercice de l'activité salariée (poste principal)";
S_NIC4_1;"Numéro SIRET de l'établissement d'exercice de l'activité salariée (poste principal) N - 1";
S_BRUT;"Somme des salaires bruts associés aux postes salariés (hors indemnités d'élus)";
S_BRUT_1;"Somme des salaires bruts associés aux postes salariés (hors indemnités d'élus) N - 1";
S_NET;"Somme des salaires nets associés aux postes salariés (hors indemnités d'élus)";
S_NET_1;"Somme des salaires nets associés aux postes salariés (hors indemnités d'élus) N - 1";
S_NETycCSG;"Somme des salaires nets associés aux postes salariés, y compris Contribution sociale généralisée (CSG) et Contribution pour le remboursement de la dette sociale (CRDS) (hors indemnités d'élus)";
S_NETycCSG_1;"Somme des salaires nets associés aux postes salariés, y compris Contribution sociale généralisée (CSG) et Contribution pour le remboursement de la dette sociale (CRDS) (hors indemnités d'élus) N - 1";
S_NETycCSG_ap;"Somme des salaires nets associés aux postes salariés et du montant net de l’indemnité versée au titre du chômage partiel, y compris Contribution sociale généralisée (CSG) non déductible et Contribution pour le remboursement de la dette sociale (CRDS) (hors indemnités d’élus)";



